Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
6.56836; 0.00000; 988.81065; -1.45708; 0.00000; 3800.00000;   403
6.57904; 10.99557; 996.06617; -1.65729; 10.99557; 3800.00000;   840
6.59162; 21.99115; 919.82386; -3.88270; 21.99115; 3800.00000;   860
6.60229; 32.98672; 986.50408; -3.82870; 32.98672; 3800.00000;   842
6.61296; 43.98230; 1021.41890; -3.02107; 43.98230; 3800.00000;   853
6.62294; 54.97787; 1111.89953; -3.38904; 54.97787; 3800.00000;   847
6.63181; 65.97345; 1237.12584; -0.84987; 65.97345; 3800.00000;   842
6.64067; 76.96902; 1224.31516; 1.41393; 76.96902; 3800.00000;   878
6.64953; 87.96460; 1235.73550; -0.18877; 87.96460; 3800.00000;   877
6.65805; 98.96017; 1299.25256; -0.63077; 98.96017; 3800.00000;   869
6.66547; 109.95574; 1464.12443; -1.00796; 109.95574; 3800.00000;   844
6.67144; 120.95132; 1829.54650; -0.62490; 120.95132; 3800.00000;   769
6.67743; 131.94689; 1875.73771; 1.34739; 131.94689; 3800.00000;   879
6.68305; 142.94247; 1930.74178; 3.27587; 142.94247; 3800.00000;   878
6.68866; 153.93804; 2036.21749; 5.48896; 153.93804; 1612.17299;   863
6.69391; 164.93362; 2030.57700; 10.47478; 164.93362; 1612.17299;    50
6.69990; 175.92919; 1832.29036; 20.94195; 175.92919; 3800.00000;   293
6.70915; 186.92477; 1214.44383; 47.63794; 186.92477; 3408.64941;  1023
6.71838; 197.92034; 1167.25843; 65.82291; 197.92034; 2899.81482;   917
6.72543; 208.91591; 1591.71605; 57.17012; 208.91591; 3111.53188;   790
6.73322; 219.91149; 1428.92455; 72.97567; 219.91149; 2754.03700;   956
6.74028; 230.90706; 1520.19556; 79.91602; 230.90706; 2631.73342;   892
6.74769; 241.90264; 1459.07304; 94.77497; 241.90264; 2416.64017;   939
6.75546; 252.89821; 1449.64726; 106.27403; 252.89821; 2282.15557;   929
6.76321; 263.89379; 1397.50565; 119.54011; 263.89379; 2151.80044;   944
6.77104; 274.88936; 1414.40371; 126.48827; 274.88936; 2091.86518;   931
6.77954; 285.88494; 1319.36338; 149.91168; 285.88494; 1921.50308;   962
6.78732; 296.88051; 1359.82865; 161.39568; 296.88051; 1851.88005;   933
6.79510; 307.87608; 1475.12402; 162.02356; 307.87608; 1848.28834;   844
6.80221; 318.87166; 1525.25655; 169.64882; 318.87166; 1806.27300;   809
6.80854; 329.86723; 1760.98246; 155.13562; 329.86723; 1612.17299;   471
6.81451; 340.86281; 1808.48264; 160.28277; 340.86281; 1695.38712;   287
6.82157; 351.85838; 1549.76384; 199.35447; 351.85838; 1666.27172;   719
6.82972; 362.85396; 1329.57369; 243.49147; 362.85396; 1507.70696;   894
6.83713; 373.84953; 1492.34181; 222.48956; 373.84953; 1577.26255;   475
6.84346; 384.84511; 1782.10283; 187.93415; 384.84511; 1716.15284;   206
6.85088; 395.84068; 1459.84791; 228.52370; 395.84068; 1556.29953;   848
6.85902; 406.83625; 1327.32671; 243.60042; 406.83625; 1507.36974;   768
