Ghostcar active!
Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
LSM9D1 Z axis zero offset is: -6606.075000
0.00091; 0.00000; 0.00000; -142.23125; 0.00000; 750.00000;   450
0.03152; 10.99557; 178.76367; 1.98188; 10.99557; 750.00000;   454
0.06674; 21.99115; 313.96192; 0.95412; 21.99115; 750.00000;   463
0.09042; 32.98672; 466.86372; -0.06597; 32.98672; 750.00000;   313
0.11050; 43.98230; 545.63192; 0.43266; 43.98230; 750.00000;   244
0.12987; 54.97787; 565.64507; -0.45665; 54.97787; 750.00000;   234
0.14996; 65.97345; 545.36130; 0.63343; 65.97345; 750.00000;   263
0.17108; 76.96902; 518.85497; 0.51402; 76.96902; 750.00000;   296
StraightCount: 	
YawRate: -8.925
New round detected!
Lap length: 87.9646
0.19233; 0.00000; 524.49792; -0.01702; 0.00000; 750.00000;   293
0.21457; 10.99557; 493.93893; -1.77183; 10.99557; 750.00000;   334
0.23428; 21.99115; 551.18424; -4.28654; 21.99115; 750.00000;   273
0.25433; 32.98672; 552.23617; -4.00902; 32.98672; 750.00000;   282
0.27332; 43.98230; 576.04644; -3.47876; 43.98230; 750.00000;   260
0.29194; 54.97787; 593.20104; -1.91048; 54.97787; 750.00000;   247
0.31094; 65.97345; 583.19584; 0.80989; 65.97345; 750.00000;   264
0.33031; 76.96902; 561.88740; -0.39741; 76.96902; 750.00000;   290
0.34963; 87.96460; 564.59946; -1.17039; 87.96460; 750.00000;   290
0.37077; 98.96017; 525.97821; -4.14261; 98.96017; 750.00000;   338
0.38975; 109.95574; 581.03860; -6.31765; 109.95574; 750.00000;   277
0.40874; 120.95132; 574.42140; -4.95855; 120.95132; 750.00000;   294
0.42701; 131.94689; 600.98243; -3.37809; 131.94689; 750.00000;   267
0.44490; 142.94247; 618.80660; -1.08907; 142.94247; 750.00000;   253
0.46298; 153.93804; 601.90357; 1.34440; 153.93804; 750.00000;   277
0.48196; 164.93362; 582.76311; 12.40933; 164.93362; 750.00000;   300
0.50163; 175.92919; 563.75997; 22.94718; 175.92919; 750.00000;   324
0.52276; 186.92477; 512.35145; 41.28602; 186.92477; 750.00000;   384
0.54210; 197.92034; 576.04644; 53.64988; 197.92034; 750.00000;   313
0.56107; 208.91591; 577.37736; 61.46730; 208.91591; 750.00000;   322
0.57933; 219.91149; 598.49632; 67.71942; 219.91149; 750.00000;   302
0.59723; 230.90706; 615.41246; 74.14714; 230.90706; 750.00000;   288
0.61620; 241.90264; 586.21178; 83.46037; 241.90264; 750.00000;   326
0.63469; 252.89821; 591.00105; 92.05961; 252.89821; 750.00000;   321
0.65367; 263.89379; 573.46273; 104.28175; 263.89379; 750.00000;   345
0.67482; 274.88936; 520.22968; 123.00903; 274.88936; 750.00000;   408
0.69379; 285.88494; 581.28433; 117.46480; 285.88494; 750.00000;   339
0.71316; 296.88051; 570.16201; 122.35746; 296.88051; 750.00000;   362
0.73181; 307.87608; 584.83987; 124.31364; 307.87608; 750.00000;   348
0.75006; 318.87166; 606.65238; 122.20932; 318.87166; 750.00000;   329
0.76903; 329.86723; 583.19584; 130.32042; 329.86723; 750.00000;   361
0.78765; 340.86281; 584.90209; 134.41322; 340.86281; 750.00000;   360
0.80592; 351.85838; 600.39175; 133.34286; 351.85838; 750.00000;   346
0.82563; 362.85396; 564.74445; 145.60205; 362.85396; 750.00000;   392
0.84281; 373.84953; 637.68338; 133.31824; 373.84953; 750.00000;   309
0.86035; 384.84511; 620.30771; 142.51165; 384.84511; 750.00000;   340
0.87788; 395.84068; 632.40205; 141.20440; 395.84068; 750.00000;   327
0.89468; 406.83625; 653.40946; 138.09748; 406.83625; 750.00000;   306
0.91258; 417.83183; 620.79802; 144.71063; 417.83183; 750.00000;   348
0.93012; 428.82740; 616.55122; 141.78335; 428.82740; 750.00000;   352
0.94801; 439.82298; 621.28910; 141.56827; 439.82298; 750.00000;   349
0.96698; 450.81855; 580.60906; 152.76815; 450.81855; 750.00000;   398
0.98380; 461.81413; 650.85678; 140.85061; 461.81413; 750.00000;   317
1.00132; 472.80970; 629.79406; 149.97236; 472.80970; 750.00000;   352
1.01812; 483.80528; 651.97595; 146.89645; 483.80528; 750.00000;   326
1.03421; 494.80085; 676.48422; 146.43793; 494.80085; 750.00000;   303
1.05138; 505.79642; 640.54378; 150.50174; 505.79642; 750.00000;   348
1.06898; 516.79200; 634.44547; 151.36222; 516.79200; 750.00000;   353
1.08615; 527.78757; 636.94459; 151.69561; 527.78757; 750.00000;   352
1.10440; 538.78315; 602.69538; 155.24916; 538.78315; 750.00000;   394
1.12124; 549.77872; 656.13883; 148.22484; 549.77872; 750.00000;   332
1.13843; 560.77430; 640.39455; 154.16445; 560.77430; 750.00000;   358
1.15488; 571.76987; 667.28817; 149.55094; 571.76987; 750.00000;   328
1.17059; 582.76545; 693.72709; 148.89656; 582.76545; 750.00000;   302
1.18704; 593.76102; 664.10427; 154.27991; 593.76102; 750.00000;   341
1.20385; 604.75659; 656.56980; 156.27025; 604.75659; 750.00000;   347
1.22066; 615.75217; 653.40946; 157.07295; 615.75217; 750.00000;   352
1.23891; 626.74774; 602.92671; 167.64135; 626.74774; 750.00000;   411
1.25536; 637.74332; 673.83101; 148.39748; 637.74332; 750.00000;   327
