time,code,type,value
1488897764.6847,0,0,0
1488897764.6927,2,1,1
1488897764.6927,0,0,0
1488897764.70069,2,0,3
1488897764.70069,2,1,-2
1488897764.70069,0,0,0
1488897764.70869,2,1,-4
1488897764.70869,0,0,0
1488897764.7167,2,0,4
1488897764.7167,2,1,5
1488897764.7167,0,0,0
1488897764.7247,2,0,3
1488897764.7247,2,1,3
1488897764.7247,0,0,0
1488897764.7327,2,0,-3
1488897764.7327,2,1,-4
1488897764.7327,0,0,0
1488897764.74069,2,0,5
1488897764.74069,2,1,-1
1488897764.74069,0,0,0
1488897764.74869,2,0,1
1488897764.74869,2,1,-2
1488897764.74869,0,0,0
1488897764.7567,2,0,4
1488897764.7567,2,1,-2
1488897764.7567,0,0,0
1488897764.7647,2,0,8
1488897764.7647,2,1,3
1488897764.7647,0,0,0
1488897764.7727,2,0,7
1488897764.7727,2,1,7
1488897764.7727,0,0,0
1488897764.78069,2,0,1
1488897764.78069,2,1,2
1488897764.78069,0,0,0
1488897764.78869,2,0,-2
1488897764.78869,2,1,3
1488897764.78869,0,0,0
1488897764.7967,2,0,4
1488897764.7967,2,1,7
1488897764.7967,0,0,0
1488897764.8047,2,0,2
1488897764.8047,0,0,0
1488897764.81269,2,0,-1
1488897764.81269,2,1,-3
1488897764.81269,0,0,0
1488897764.8207,2,0,4
1488897764.8207,2,1,7
1488897764.8207,0,0,0
1488897764.8287,2,0,14
1488897764.8287,2,1,1
1488897764.8287,0,0,0
1488897764.8367,2,0,3
1488897764.8367,2,1,4
1488897764.8367,0,0,0
1488897764.8447,2,0,2
1488897764.8447,0,0,0
1488897764.8527,2,0,2
1488897764.8527,2,1,-7
1488897764.8527,0,0,0
1488897764.8607,2,0,-2
1488897764.8607,2,1,1
1488897764.8607,0,0,0
1488897764.8687,2,0,8
1488897764.8687,2,1,7
1488897764.8687,0,0,0
1488897764.8767,2,1,-3
1488897764.8767,0,0,0
1488897764.8847,2,0,3
1488897764.8847,2,1,1
1488897764.8847,0,0,0
1488897764.8927,2,0,5
1488897764.8927,2,1,4
1488897764.8927,0,0,0
1488897764.9007,2,0,-5
1488897764.9007,2,1,-4
1488897764.9007,0,0,0
1488897764.9087,2,0,3
1488897764.9087,2,1,4
1488897764.9087,0,0,0
1488897764.91669,2,0,6
1488897764.91669,2,1,3
1488897764.91669,0,0,0
1488897764.9247,2,0,3
1488897764.9247,2,1,-1
1488897764.9247,0,0,0
1488897764.9327,2,0,-1
1488897764.9327,2,1,1
1488897764.9327,0,0,0
1488897764.94069,2,0,16
1488897764.94069,2,1,12
1488897764.94069,0,0,0
1488897764.9487,2,0,4
1488897764.9487,2,1,1
1488897764.9487,0,0,0
1488897764.9567,2,0,-8
1488897764.9567,2,1,4
1488897764.9567,0,0,0
1488897764.9647,2,0,3
1488897764.9647,2,1,7
1488897764.9647,0,0,0
1488897764.97269,2,0,-3
1488897764.97269,0,0,0
1488897764.98071,2,0,4
1488897764.98071,0,0,0
1488897764.9887,2,0,-1
1488897764.9887,2,1,-1
1488897764.9887,0,0,0
1488897764.9967,2,0,7
1488897764.9967,2,1,4
1488897764.9967,0,0,0
1488897765.00471,2,0,5
1488897765.00471,2,1,3
1488897765.00471,0,0,0
1488897765.0127,2,0,4
1488897765.0127,2,1,3
1488897765.0127,0,0,0
1488897765.02871,2,1,6
1488897765.02871,0,0,0
1488897765.0367,2,0,6
1488897765.0367,2,1,6
1488897765.0367,0,0,0
1488897765.0447,2,0,9
1488897765.0447,2,1,6
1488897765.0447,0,0,0
1488897765.05269,2,1,9
1488897765.05269,0,0,0
1488897765.06071,2,0,5
1488897765.06071,2,1,6
1488897765.06071,0,0,0
1488897765.0687,2,0,-3
1488897765.0687,2,1,-3
1488897765.0687,0,0,0
1488897765.07671,2,0,-3
