time;code;value
1488897764.476712;2;0;127
1488897764.476712;2;1;127
1488897764.476712;0;0;0
1488897764.484706;2;0;127
1488897764.484706;2;1;127
1488897764.484706;0;0;0
1488897764.492703;2;0;127
1488897764.492703;2;1;127
1488897764.492703;0;0;0
1488897764.500690;2;0;127
1488897764.500690;2;1;127
1488897764.500690;0;0;0
1488897764.508707;2;0;127
1488897764.508707;2;1;127
1488897764.508707;0;0;0
1488897764.516706;2;0;127
1488897764.516706;2;1;127
1488897764.516706;0;0;0
1488897764.524709;2;0;127
1488897764.524709;2;1;127
1488897764.524709;0;0;0
1488897764.532703;2;0;127
1488897764.532703;2;1;127
1488897764.532703;0;0;0
1488897764.540712;2;0;127
1488897764.540712;2;1;127
1488897764.540712;0;0;0
1488897764.548705;2;0;127
1488897764.548705;2;1;127
1488897764.548705;0;0;0
1488897764.556703;2;0;127
1488897764.556703;2;1;127
1488897764.556703;0;0;0
1488897764.564706;2;0;127
1488897764.564706;2;1;127
1488897764.564706;0;0;0
1488897764.572702;2;0;127
1488897764.572702;2;1;127
1488897764.572702;0;0;0
1488897764.580707;2;0;127
1488897764.580707;2;1;127
1488897764.580707;0;0;0
1488897764.588701;2;0;127
1488897764.588701;2;1;127
1488897764.588701;0;0;0
1488897764.596707;2;0;127
1488897764.596707;2;1;127
1488897764.596707;0;0;0
1488897764.604703;2;0;127
1488897764.604703;2;1;127
1488897764.604703;0;0;0
1488897764.612701;2;0;127
1488897764.612701;2;1;127
1488897764.612701;0;0;0
1488897764.620699;2;0;127
1488897764.620699;2;1;127
1488897764.620699;0;0;0
1488897764.628693;2;0;127
1488897764.628693;2;1;127
1488897764.628693;0;0;0
1488897764.636692;2;0;127
1488897764.636692;2;1;127
1488897764.636692;0;0;0
1488897764.644696;2;0;127
1488897764.644696;2;1;127
1488897764.644696;0;0;0
1488897764.652693;2;0;127
1488897764.652693;2;1;127
1488897764.652693;0;0;0
1488897764.660697;2;0;127
1488897764.660697;2;1;127
1488897764.660697;0;0;0
1488897764.668687;2;0;127
1488897764.668687;2;1;127
1488897764.668687;0;0;0
1488897764.676695;2;0;127
1488897764.676695;2;1;127
1488897764.676695;0;0;0
1488897764.684698;2;0;127
1488897764.684698;2;1;89
1488897764.684698;0;0;0
1488897764.692696;2;1;1
1488897764.692696;0;0;0
1488897764.700686;2;0;3
1488897764.700686;2;1;-2
1488897764.700686;0;0;0
1488897764.708687;2;1;-4
1488897764.708687;0;0;0
1488897764.716698;2;0;4
1488897764.716698;2;1;5
1488897764.716698;0;0;0
1488897764.724698;2;0;3
1488897764.724698;2;1;3
1488897764.724698;0;0;0
1488897764.732699;2;0;-3
1488897764.732699;2;1;-4
1488897764.732699;0;0;0
1488897764.740695;2;0;5
1488897764.740695;2;1;-1
1488897764.740695;0;0;0
1488897764.748694;2;0;1
1488897764.748694;2;1;-2
1488897764.748694;0;0;0
1488897764.756697;2;0;4
1488897764.756697;2;1;-2
1488897764.756697;0;0;0
1488897764.764699;2;0;8
1488897764.764699;2;1;3
1488897764.764699;0;0;0
1488897764.772696;2;0;7
1488897764.772696;2;1;7
1488897764.772696;0;0;0
1488897764.780687;2;0;1
1488897764.780687;2;1;2
1488897764.780687;0;0;0
1488897764.788693;2;0;-2
1488897764.788693;2;1;3
1488897764.788693;0;0;0
1488897764.796699;2;0;4
1488897764.796699;2;1;7
1488897764.796699;0;0;0
1488897764.804700;2;0;2
1488897764.804700;0;0;0
1488897764.812688;2;0;-1
1488897764.812688;2;1;-3
1488897764.812688;0;0;0
1488897764.820698;2;0;4
1488897764.820698;2;1;7
1488897764.820698;0;0;0
1488897764.828697;2;0;14
1488897764.828697;2;1;1
1488897764.828697;0;0;0
1488897764.836698;2;0;3
1488897764.836698;2;1;4
1488897764.836698;0;0;0
1488897764.844701;2;0;2
1488897764.844701;0;0;0
1488897764.852701;2;0;2
1488897764.852701;2;1;-7
1488897764.852701;0;0;0
1488897764.860701;2;0;-2
1488897764.860701;2;1;1
1488897764.860701;0;0;0
1488897764.868697;2;0;8
1488897764.868697;2;1;7
1488897764.868697;0;0;0
1488897764.876697;2;1;-3
1488897764.876697;0;0;0
1488897764.884698;2;0;3
1488897764.884698;2;1;1
1488897764.884698;0;0;0
1488897764.892703;2;0;5
1488897764.892703;2;1;4
1488897764.892703;0;0;0
1488897764.900701;2;0;-5
1488897764.900701;2;1;-4
1488897764.900701;0;0;0
1488897764.908701;2;0;3
1488897764.908701;2;1;4
1488897764.908701;0;0;0
1488897764.916694;2;0;6
1488897764.916694;2;1;3
1488897764.916694;0;0;0
1488897764.924699;2;0;3
1488897764.924699;2;1;-1
1488897764.924699;0;0;0
1488897764.932703;2;0;-1
1488897764.932703;2;1;1
1488897764.932703;0;0;0
1488897764.940688;2;0;16
1488897764.940688;2;1;12
1488897764.940688;0;0;0
1488897764.948701;2;0;4
1488897764.948701;2;1;1
1488897764.948701;0;0;0
1488897764.956699;2;0;-8
1488897764.956699;2;1;4
1488897764.956699;0;0;0
1488897764.964701;2;0;3
1488897764.964701;2;1;7
1488897764.964701;0;0;0
1488897764.972692;2;0;-3
1488897764.972692;0;0;0
1488897764.980705;2;0;4
1488897764.980705;0;0;0
1488897764.988700;2;0;-1
1488897764.988700;2;1;-1
1488897764.988700;0;0;0
1488897764.996703;2;0;7
1488897764.996703;2;1;4
1488897764.996703;0;0;0
1488897765.004708;2;0;5
1488897765.004708;2;1;3
1488897765.004708;0;0;0
1488897765.012695;2;0;4
1488897765.012695;2;1;3
1488897765.012695;0;0;0
1488897765.028708;2;1;6
1488897765.028708;0;0;0
1488897765.036703;2;0;6
1488897765.036703;2;1;6
1488897765.036703;0;0;0
1488897765.044703;2;0;9
1488897765.044703;2;1;6
1488897765.044703;0;0;0
1488897765.052694;2;1;9
1488897765.052694;0;0;0
1488897765.060705;2;0;5
1488897765.060705;2;1;6
1488897765.060705;0;0;0
1488897765.068703;2;0;-3
1488897765.068703;2;1;-3
1488897765.068703;0;0;0
1488897765.076707;2;0;-3
1488897765.076707;2;1;3
1488897765.076707;0;0;0
1488897765.084695;2;0;4
1488897765.084695;2;1;2
1488897765.084695;0;0;0
1488897765.092705;2;0;2
1488897765.092705;2;1;-7
1488897765.092705;0;0;0
1488897765.100703;2;0;1
1488897765.100703;2;1;5
1488897765.100703;0;0;0
1488897765.108701;2;0;1
1488897765.108701;2;1;2
1488897765.108701;0;0;0
1488897765.116704;2;0;-1
1488897765.116704;2;1;1
1488897765.116704;0;0;0
1488897765.124707;2;0;-12
1488897765.124707;2;1;-4
1488897765.124707;0;0;0
1488897765.132716;2;0;2
1488897765.132716;2;1;-2
1488897765.132716;0;0;0
1488897765.140704;2;0;2
1488897765.140704;0;0;0
1488897765.148708;2;0;-1
1488897765.148708;2;1;-3
1488897765.148708;0;0;0
1488897765.156702;2;0;-3
1488897765.156702;2;1;5
1488897765.156702;0;0;0
1488897765.164694;2;0;4
1488897765.164694;2;1;-4
1488897765.164694;0;0;0
1488897765.172706;2;0;4
1488897765.172706;2;1;5
1488897765.172706;0;0;0
1488897765.180705;2;0;1
1488897765.180705;2;1;3
1488897765.180705;0;0;0
1488897765.188702;2;0;1
1488897765.188702;2;1;2
1488897765.188702;0;0;0
1488897765.196696;2;0;-6
1488897765.196696;2;1;-5
1488897765.196696;0;0;0
1488897765.204702;2;0;-6
1488897765.204702;2;1;1
1488897765.204702;0;0;0
1488897765.212702;2;0;3
1488897765.212702;2;1;8
1488897765.212702;0;0;0
1488897765.220697;2;1;2
1488897765.220697;0;0;0
1488897765.228706;2;0;4
1488897765.228706;2;1;1
1488897765.228706;0;0;0
1488897765.236706;2;0;3
1488897765.236706;2;1;-1
1488897765.236706;0;0;0
1488897765.244709;2;0;8
1488897765.244709;2;1;1
1488897765.244709;0;0;0
1488897765.252708;2;0;5
1488897765.252708;2;1;7
1488897765.252708;0;0;0
1488897765.260708;2;0;-1
1488897765.260708;2;1;-2
1488897765.260708;0;0;0
1488897765.268692;2;0;6
