"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";
"1";"";"C-EUC0805K";"C0805K";"C4.03";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"";"DRV8871";"HSOP8";"IC4.01";"";"";"";"";"";"";"";"";"";"";
"2";"";"LEDCHIPLED_1206";"CHIPLED_1206";"D7.03, D7.04";"LED";"";"";"";"";"";"";"";"";"";
"2";"";"MPT2";"2POL254";"X7.01, X7.04";"PHOENIX CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";
"1";"";"P-MOSFET-SO8";"SO-08";"Q2.01";"P-Channel MOSFET";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X3/90";"2X03/90";"X7.07";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"1";"";"SJ2W";"SJ_2";"J4.01";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";
"2";"";"SMD2";"SMD1,27-2,54";"NTC+, NTC-";"SMD PAD";"";"";"";"";"";"";"";"";"";
"1";"0R";"R-EU_R0402";"R0402";"R2.07";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"X7.09, X7.10";"SMD 0R 0805 Jumper";"";"";"";"";"";"";"";"";"";
"1";"0R02";"R-EU_R0805";"R0805";"R6.03";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"3";"100k";"R-EU_R0402";"R0402";"R6.02, R6.04, R6.05";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"100kR";"R-EU_R0402";"R0402";"R1.01";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"100n";"C-EUC0402";"C0402";"C6.01";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"3";"100nF";"C-EUC0402";"C0402";"C3.02, C3.03, C3.05";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"100nF";"C-EUC0402K";"C0402K";"C1.02, C1.03";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"100nF/25V";"C-EUC0603K";"C0603K";"C4.02";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"100u";"CPOL-29172312";"C-2312";"C6.04, C6.05";"";"";"";"";"";"";"";"";"";"";
"1";"10kR";"R-EU_M0805";"M0805";"R7.02";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"9";"10kR";"R-EU_R0402";"R0402";"R2.01, R2.10, R2.11, R2.12, R2.13, R2.14, R2.15, R3.01, R3.03";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"10nF";"C-EUC0402";"C0402";"C3.01";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"10u";"C-EUC0603";"C0603";"C6.02";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C-EUC0603K";"C0603K";"C3.04";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"11k8R";"R-EU_R0402";"R0402";"R2.05";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"1k62R";"R-EU_R0402";"R0402";"R2.03";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"1kR";"R-EU_R0402";"R0402";"R4.04, R4.05";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"1uF/16V";"C-EUC0805";"C0805";"C2.01";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"2.2uF";"C-EUC0603";"C0603";"C6.03";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"2.2uF/10V";"C-EUC0603K";"C0603K";"C2.02";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"2.6uH";"NRS8030XX";"TAIYO-YUDEN.NRS8030T4R7MJGJ";"L2.01";"";"";"";"";"";"";"";"";"";"";
"2";"220nF/25V";"C-EUC0603K";"C0603K";"C4.04, C4.05";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"22kR";"R-EU_R0402";"R0402";"R4.03";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"22uF";"CPOL-EUA/3216-18R";"A/3216-18R";"C2.05";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"22uF/25V";"C-EUC1210K";"C1210K";"C1.01";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"22uF/6.3V";"C-EUC1206K";"C1206K";"C1.05, C1.06";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"2k2R";"R-EU_M0805";"M0805";"R7.03";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"31k6R";"R-EU_R0402";"R0402";"R2.02";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"5";"330R";"R-EU_R0603";"R0603";"R7,01, R7,02, R7,04, R7,05, R7.01";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"3";"330R";"R-EU_R1206";"R1206";"R7.04, R7.08, R7.10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"33nF/16V";"C-EUC0603";"C0603";"C2.03";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"33nF/16V";"C-EUC0805";"C0805";"C2.04";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"4.7uH";"NRS8030XX";"TAIYO-YUDEN.NRS8030T4R7MJGJ";"L1.02";"";"";"";"";"";"";"";"";"";"";
"1";"47uF/25V";"CPOL-EUC/6032-28R";"C/6032-28R";"C4.01";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"5k62R";"R-EU_R0402";"R0402";"R2.04";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"750mA";"R-EU_R0805";"R0805";"F1.01";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"90k9";"R-EU_R0402";"R0402";"R6.01";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"ARDUINO_UNO";"ARDUINO_UNO";"AU_PINS";"X7.02";"";"";"";"";"";"";"";"";"";"";
"4";"BEAD";"BLM15HB121SN1";"0402";"FB6.01, L1.01, L1.03, L4.01";"EMIFIL (R) Chip Ferrite Bead for GHz Noise";"";"";"";"";"";"";"";"";"";
"1";"BEAD";"L-EUL2012C";"L2012C";"L2.02";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"BQ24266RGET";"BQ24266RGET";"VQFN-24";"IC2.00";"";"";"";"";"";"";"";"";"";"";
"4";"CON_HEADER_1X02";"CON_HEADER_1X02";"M1X2_MALE_RIGHT_ANGLED_SMD";"X7.03, X7.06, X7.08, X7.11";"";"";"";"";"";"";"";"";"";"";
"1";"LSM9DS1";"LSM9DS1";"LGA-24";"IC3.01";"";"Unavailable";"iNEMO inertial module: 3D accelerometer, 3D gyroscope, 3D magnetometer";"STMicroelectronics";"LSM9DS1";"";"";"";"None";"None";
"1";"MBRS320T3";"MBRS320T3";"SMC";"D1.01";"SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20, 30, 40 VOLT";"";"";"";"";"";"";"";"";"";
"1";"MOTOR";"MPT2";"2POL254";"X7.05";"PHOENIX CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";
"1";"NRS8030XX";"NRS8030XX";"TAIYO-YUDEN.NRS8030T4R7MJGJ";"L6.01";"";"";"";"";"";"";"";"";"";"";
"1";"OK+12V";"LEDCHIPLED_1206";"CHIPLED_1206";"D7.07";"LED";"";"";"";"";"";"";"";"";"";
"1";"OK+3V";"LEDCHIPLED_1206";"CHIPLED_1206";"D7.06";"LED";"";"";"";"";"";"";"";"";"";
"1";"OK+5V";"LEDCHIPLED_1206";"CHIPLED_1206";"D7.05";"LED";"";"";"";"";"";"";"";"";"";
"1";"REF.KITT-MB01";"REF.KITT-MB01";"REF_KITT_MB01";"REF5";"";"";"";"";"";"";"";"";"";"";
"1";"REF.LOGO.UASUA";"REF.LOGO.UASUA";"REF_LOGO_UASUA";"REF2";"";"";"";"";"";"";"";"";"";"";
"1";"REF_GC-BBV2.0";"REF_GC-BBV2.0";"REF_GHOSTCAR";"REF4";"";"";"";"";"";"";"";"";"";"";
"1";"RT8293A";"RT8293A";"SOIC-8-PAD";"IC1.01";"";"";"";"";"";"";"";"";"";"";
"1";"S2B-PH-K-S(LF)(SN)";"S2B-PH-K-S(LF)(SN)";"JST_S2B-PH-K-S(LF)(SN)";"X2.01";"PH Series 2 Position 2.0 mm Through Hole Side Entry Shrouded Header";"Good";"PH Series 2 Position 2.0 mm Through Hole Side Entry Shrouded Header";"JST";"S2B-PH-K-S(LF)(SN)";"";"";"";"FakePackage u";"0.08 USD";
"2";"SHUNT";"R-EU_R1206";"R1206";"R7.11, R7.12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"3";"SI1922EDH";"SI1922EDH";"SC70-6";"U0.1, U7.01, U7.2";"";"";"";"";"";"";"";"";"";"";
"1";"TPS61032RSARPSDO-G16";"TPS61032RSARPSDO-G16";"R-PDSO-G16";"U6.01";"SYNCHRONOUS BOOST CONVERTER";"";"";"";"";"";"";"";"";"";
"1";"XX";"C-EUC0402K";"C0402K";"C1.04";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"3";"XX";"R-EU_R0402";"R0402";"R1.02, R1.03, R1.04";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"[0R]";"R-EU_R0402";"R0402";"R1.05, R1.06";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"4";"[0R]";"R-EU_R1206";"R1206";"R7.05, R7.06, R7.07, R7.09";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"[10kR/NTC]";"R-EU_R0402";"R0402";"R2.08";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"6";"[10kR]";"R-EU_R0402";"R0402";"R3.02, R3.04, R3.05, R3.06, R3.07, R3.08";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
